# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	14785
#@/user_id	rime_fcitx_xiao_he
a 	啊	c=86 d=3.48375 t=14785
mi shang le 	迷上了	c=1 d=0.00123091 t=14785
mi yao 	密钥	c=3 d=1.49731e-06 t=14785
mian 	面	c=0 d=3.27046e-08 t=14785
mian e 	面额	c=0 d=1.09228e-10 t=14785
mian fei 	免费	c=2 d=0.036217 t=14785
mian shi 	面试	c=11 d=0.00348115 t=14785
mian shi ti 	面试题	c=2 d=1.01419 t=14506
mian yi mian 	面一面	c=1 d=1 t=11797
miao 	秒	c=3 d=1.9708 t=13523
miao shu 	描述	c=9 d=0.00120052 t=14785
miao shu bu qing chu 	描述不清楚	c=1 d=1.73863e-07 t=14785
min gan 	敏感	c=1 d=7.48901e-11 t=14785
min jian 	民间	c=1 d=1 t=14579
min jin dang 	民进党	c=3 d=2.87255 t=11101
ming 	名	c=1 d=0.00146253 t=14785
ming cheng 	名称	c=11 d=0.820467 t=14785
ming fa 	明发	c=0 d=4.05658e-05 t=14785
ming fa ban dao 	明发半岛	c=1 d=0.000407691 t=14785
ming ling 	命令	c=9 d=5.80758e-06 t=14785
ming ling hang 	命令行	c=2 d=1.38481 t=12454
ming ling qian 	命令前	c=1 d=1.52455e-20 t=14785
ming ma 	明码	c=1 d=1.4967e-09 t=14785
ming ming 	命名	c=1 d=1.19824e-10 t=14785
ming nian 	明年	c=5 d=1.95744e-08 t=14785
ming tian 	明天	c=13 d=0.231093 t=14785
ming tian lai 	明天来	c=1 d=1 t=14480
ming tian wo guo qu ba 	明天我过去吧	c=1 d=1 t=10601
ming xi 	明细	c=1 d=1 t=10054
ming xi biao 	明细表	c=1 d=0.790571 t=14785
ming zhong 	命中	c=1 d=1 t=11014
ming zi 	名字	c=4 d=0.0710054 t=14785
mo ban 	模版	c=8 d=0.947018 t=14785
mo ban jie kou 	模版接口	c=1 d=9.31412e-18 t=14785
mo fa zhi 	魔法值	c=1 d=1.06622e-19 t=14785
mo fang 	魔方	c=6 d=1.00368 t=12180
mo hu 	模糊	c=2 d=0.00344734 t=14785
mo ji 	墨迹	c=1 d=5.97907e-09 t=14785
mo kuai 	模块	c=4 d=4.97352e-08 t=14785
mo kuai ming 	模块名	c=1 d=8.59802e-18 t=14785
mo ren 	默认	c=19 d=0.965605 t=14785
mo ren da xiao 	默认大小	c=1 d=1 t=10490
mo ren wei 	默认为	c=1 d=1 t=11027
mo ren zhi 	默认值	c=1 d=1 t=13563
mo shi 	模式	c=4 d=3.8952 t=12523
mo suo 	摸索	c=1 d=1.84614e-07 t=14785
mo tuo 	摩托	c=1 d=3.96937e-13 t=14785
mo tuo che 	摩托车	c=1 d=4.04955e-13 t=14785
mo xing 	模型	c=6 d=0.311803 t=14785
mo yu 	摸鱼	c=0 d=0.00290133 t=14785
mo yu mo yu 	摸鱼摸鱼	c=1 d=0.0291588 t=14785
mou 	某	c=1 d=1.44484e-10 t=14785
mou ge 	某个	c=2 d=6.6068e-07 t=14785
mou ge shu 	某个数	c=1 d=1.34427e-10 t=14785
mou ge yong hu 	某个用户	c=1 d=1.51932e-09 t=14785
mou yi 	某一	c=0 d=1.31765e-11 t=14785
mou yi nian 	某一年	c=1 d=1.32426e-10 t=14785
mou yi shi ke 	某一时刻	c=1 d=1 t=13717
mu 	姆	c=1 d=0.00327971 t=14785
mu biao 	目标	c=12 d=0.000343769 t=14785
mu biao shi 	目标是	c=1 d=1 t=13455
mu di 	目的	c=1 d=1 t=12707
mu lu 	目录	c=12 d=0.00286571 t=14785
mu lu jie gou 	目录结构	c=2 d=3.52609e-16 t=14785
mu lu xia 	目录下	c=1 d=1 t=9593
mu qian 	目前	c=7 d=4.45303e-05 t=14785
mu qian bu xu yao 	目前不需要	c=1 d=2.93908e-07 t=14785
mu ru 	母乳	c=1 d=3.90017e-12 t=14785
mu tong 	木桶	c=1 d=1 t=14642
mvn 	mvn	c=3 d=3.03635e-17 t=14785
na 	哪	c=0 d=3.45256e-20 t=14785
na 	那	c=14 d=0.46009 t=14785
na bian 	那边	c=8 d=0.0061893 t=14785
na dao 	拿到	c=3 d=0.178173 t=14785
na dao hou 	那到后	c=1 d=1 t=14438
na de zhu 	拿得住	c=1 d=1 t=10545
na er 	哪儿	c=0 d=0.0565525 t=14785
na er le 	哪儿了	c=1 d=1.04999e-15 t=14785
na ge 	哪个	c=9 d=1.96561 t=14785
na ge 	那个	c=13 d=0.878095 t=14785
na ge qun li 	哪个群里	c=1 d=2.53055e-11 t=14785
na ge ren 	那个人	c=2 d=0.0023935 t=14785
na ge ren shuo 	那个人说	c=1 d=5.84655e-10 t=14785
na ge shi hou 	那个时候	c=1 d=4.45689e-15 t=14785
na ge xiao qu 	那个小区	c=1 d=1.44199e-12 t=14785
na gu ji 	那估计	c=2 d=1.02431e-15 t=14785
na hai 	那还	c=0 d=3.59163e-14 t=14785
na hai hao 	那还好	c=2 d=1.4442e-07 t=14785
na hai ke yi 	那还可以	c=1 d=3.60963e-13 t=14785
na ke xi le 	那可惜了	c=1 d=1 t=10533
na ken ding 	那肯定	c=2 d=0.0256042 t=14785
na li 	哪里	c=1 d=1 t=12287
na li de 	哪里的	c=1 d=1 t=14356
na liang 	那辆	c=1 d=6.90969e-05 t=14785
na liang che 	那辆车	c=1 d=1.3181e-14 t=14785
na me 	那么	c=0 d=0.00197421 t=14785
na me duo 	那么多	c=2 d=1.00006 t=13804
na me kuai 	那么快	c=0 d=2.49203e-08 t=14785
na me xian cheng 	那么线程	c=1 d=1 t=14001
na me yuan 	那么远	c=1 d=3.41646e-13 t=14785
na mei guan xi 	那没关系	c=1 d=2.22744e-10 t=14785
na ni 	那你	c=5 d=0.0113341 t=14785
na ni hai shi 	那你还是	c=1 d=3.2825e-13 t=14785
na ni jin liang 	那你尽量	c=1 d=0.0154523 t=14785
na ni ti qian 	那你提前	c=1 d=0.0152985 t=14785
na nian 	那年	c=1 d=2.4059e-05 t=14785
na ren 	那人	c=2 d=3.59985e-10 t=14785
na shi 	那是	c=1 d=9.33029e-09 t=14785
na wei 	那位	c=1 d=2.62747e-12 t=14785
na wo 	那我	c=0 d=9.10922e-22 t=14785
na wo zhuan gei ni 	那我转给你	c=1 d=9.15488e-21 t=14785
na xie 	哪些	c=6 d=7.88738e-07 t=14785
na xie 	拿些	c=1 d=7.6812e-15 t=14785
na yang 	那样	c=2 d=2.02078e-13 t=14785
na ye 	那也	c=0 d=2.53883e-21 t=14785
na ye bu cuo 	那也不错	c=1 d=1.18386e-15 t=14785
na ye duan 	那也短	c=1 d=2.55155e-20 t=14785
na yi 	哪一	c=0 d=1.20695e-08 t=14785
na yi bu 	哪一步	c=1 d=1.51669e-18 t=14785
na yi bu fen 	那一部分	c=1 d=1 t=12797
na yi ge 	哪一个	c=1 d=9.83238e-08 t=14785
na yi lie 	哪一列	c=1 d=1.213e-07 t=14785
na you 	哪有	c=0 d=1.21614e-09 t=14785
na you na me 	哪有那么	c=1 d=1.22223e-08 t=14785
na zheng 	纳征	c=0 d=2.39676e-20 t=14785
na zheng ming 	纳征名	c=1 d=2.40877e-19 t=14785
nai fen 	奶粉	c=9 d=9.15612e-05 t=14785
nai fen dao le 	奶粉到了	c=1 d=7.69116e-05 t=14785
nai fen dao le ba 	奶粉到了把	c=1 d=7.15582e-05 t=14785
nai fen mei le 	奶粉没了	c=1 d=7.5227e-05 t=14785
nan 	男	c=1 d=0.000340532 t=14785
nan de 	男的	c=1 d=1.4936e-14 t=14785
nan lin 	楠林	c=3 d=2.88052 t=12018
nan yi 	难易	c=1 d=3.37431e-14 t=14785
nao tu 	脑图	c=0 d=0.1 t=12323
ne 	呢	c=11 d=0.0114178 t=14785
nei 	内	c=1 d=1 t=13033
nei bu 	内部	c=2 d=0.00081042 t=14785
nei bu fang fa 	内部方法	c=1 d=1 t=10253
nei bu lei 	内部类	c=4 d=0.00170515 t=14785
nei cun 	内存	c=21 d=0.287694 t=14785
nei cun mo xing 	内存模型	c=4 d=3.89234 t=14401
nei cun sui pian 	内存碎片	c=1 d=1 t=12966
nei gou 	内购	c=2 d=4.13223e-05 t=14785
nei huan 	内环	c=1 d=4.77276e-05 t=14785
nei juan 	内卷	c=1 d=2.08726e-10 t=14785
nei rong 	内容	c=8 d=1 t=14785
nei tui 	内推	c=1 d=4.35146e-06 t=14785
nei wang 	内网	c=1 d=0.00100779 t=14785
nei xiang 	内向	c=1 d=0.00247875 t=14785
nei yi 	内衣	c=2 d=1.41206e-20 t=14785
nei zhi 	内置	c=1 d=0.99005 t=14785
nen 	恁	c=2 d=1 t=14669
nen jiu 	恁舅	c=1 d=2.12061e-20 t=14785
neng 	能	c=9 d=0.286237 t=14785
neng ba ni 	能把你	c=1 d=1 t=14671
neng bu 	能不	c=0 d=9.38504e-20 t=14785
neng bu neng 	能不能	c=3 d=0.0147723 t=14785
neng bu neng cheng 	能不能成	c=1 d=1 t=11798
neng bu neng dao 	能不能到	c=1 d=6.58166e-21 t=14785
neng bu neng gao 	能不能搞	c=1 d=9.54503e-12 t=14785
neng bu neng guo 	能不能过	c=1 d=9.43208e-19 t=14785
neng bu neng zuo 	能不能坐	c=1 d=8.81418e-16 t=14785
neng guo 	能过	c=0 d=9.38504e-20 t=14785
neng he 	能和	c=1 d=4.44163e-12 t=14785
neng hui fu 	能恢复	c=1 d=1.03116e-08 t=14785
neng jie jue 	能解决	c=1 d=7.78113e-20 t=14785
neng jie shou 	能接受	c=0 d=1.04152e-09 t=14785
neng kan 	能看	c=1 d=1.50549e-19 t=14785
neng li 	能力	c=12 d=0.977758 t=14785
neng liang zhuan huan 	能量转换	c=1 d=1.40275e-11 t=14785
neng tui 	能退	c=0 d=2.25449e-06 t=14785
neng zou 	能走	c=0 d=3.10578e-10 t=14785
neng zuo 	能做	c=0 d=1.03883e-08 t=14785
neng zuo wan 	能做完	c=2 d=2.29398e-07 t=14785
ni 	你	c=21 d=1.60914 t=14785
ni a 	你啊	c=0 d=0.1 t=14771
ni a huo e 	你啊火鹅	c=1 d=1 t=14772
ni ba ma 	你爸妈	c=1 d=9.37706e-09 t=14785
ni bu 	你不	c=0 d=0.1 t=14780
ni bu a h chong 	你不阿和冲	c=1 d=1 t=14780
ni bu shi 	你不是	c=1 d=3.08336e-12 t=14785
ni bu shi shuo 	你不是说	c=1 d=9.28375e-09 t=14785
ni bu shi ye kan le 	你不是也看了	c=1 d=7.45039e-09 t=14785
ni bu shu wan 	你部署完	c=1 d=3.24818e-07 t=14785
ni bu shuo 	你不说	c=2 d=0.909986 t=14785
ni bu xu yao 	你不需要	c=1 d=8.98612e-08 t=14785
ni bu yong 	你不用	c=1 d=1.64134e-06 t=14785
ni bu zang chai ao 	你不脏拆奥	c=1 d=1 t=14781
ni chu qu 	你出去	c=0 d=0.000219846 t=14785
ni chu qu le 	你出去了	c=1 d=0.00220948 t=14785
ni da 	你打	c=1 d=1.65041e-12 t=14785
ni dai 	你带	c=0 d=0.1 t=13871
ni dai zhe xiao jia huo 	你带这小家伙	c=1 d=1 t=10542
ni dai zou 	你带走	c=1 d=1 t=13872
ni de 	你得	c=2 d=8.06089e-12 t=14785
ni de 	你的	c=10 d=0.909373 t=14785
ni de dian hua 	你的电话	c=0 d=2.25135e-19 t=14785
ni de ming zi 	你的名字	c=0 d=9.06379e-22 t=14785
ni de na ge 	你的那个	c=1 d=1 t=13236
ni de zhang hao 	你的帐号	c=1 d=0.0934807 t=14785
ni dian nao 	你电脑	c=1 d=7.97133e-10 t=14785
ni dian nao shang 	你电脑上	c=1 d=3.09829e-10 t=14785
ni dou 	你都	c=1 d=0.00108347 t=14785
ni dou bu xiang yong 	你都不想用	c=1 d=1 t=13881
ni dou mei yong dao 	你都没用到	c=1 d=1.27497e-05 t=14785
ni dui jie 	你对接	c=1 d=1 t=13329
ni fa gei wo 	你发给我	c=1 d=3.01451e-11 t=14785
ni fang bian ma 	你方便吗	c=1 d=3.36445e-09 t=14785
ni gei 	你给	c=0 d=0.000137404 t=14785
ni gei wo 	你给我	c=1 d=6.37954e-07 t=14785
ni gen 	你跟	c=2 d=6.56813e-08 t=14785
ni gen wo 	你跟我	c=0 d=5.80731e-20 t=14785
ni gen wo yi qi zou 	你跟我一起走	c=1 d=5.83642e-19 t=14785
ni hai 	你还	c=1 d=9.12814e-05 t=14785
ni hai bu ru 	你还不如	c=1 d=0.000170803 t=14785
ni hai ji de ma 	你还记得吗	c=1 d=1 t=11753
ni hai shi 	你还是	c=0 d=3.26613e-14 t=14785
ni hai zai jia 	你还在家	c=1 d=0.000746586 t=14785
ni hao 	你好	c=3 d=0.0871609 t=14785
ni he 	你和	c=1 d=3.7087e-08 t=14785
ni huan dian nao le 	你换电脑了	c=1 d=1.1814e-20 t=14785
ni hui 	你回	c=0 d=1.15943e-06 t=14785
ni hui jia 	你回家	c=2 d=1.16524e-05 t=14785
ni jia 	你家	c=3 d=0.00333151 t=14785
ni jia le 	你加了	c=1 d=1 t=11757
ni jin tian 	你今天	c=1 d=1 t=11984
ni jiu 	你就	c=0 d=5.74365e-08 t=14785
ni jiu gei wo 	你就给我	c=1 d=5.77244e-07 t=14785
ni ju ran 	你居然	c=1 d=1.28932e-19 t=14785
ni kan 	你看	c=1 d=8.98765e-10 t=14785
ni ke yi 	你可以	c=2 d=2.46128e-08 t=14785
ni ke yi can kao 	你可以参考	c=1 d=2.29051e-15 t=14785
ni ke yi deng wo 	你可以等我	c=1 d=1.8246e-16 t=14785
ni lai 	你来	c=0 d=0.000759701 t=14785
ni lai an gong si 	你来俺公司	c=1 d=0.00763509 t=14785
ni lin ju 	你邻居	c=2 d=3.53838e-06 t=14785
ni liu zhe 	你留着	c=1 d=1 t=14370
ni mai 	你买	c=1 d=0.00028799 t=14785
ni mai hui yuan le 	你买会员了	c=1 d=0.00289433 t=14785
ni mei 	你没	c=0 d=2.91687e-07 t=14785
ni mei gao cuo ba 	你没搞错吧	c=1 d=2.93149e-06 t=14785
ni mei guan 	你没关	c=1 d=2.70887e-18 t=14785
ni men 	你们	c=11 d=0.0210667 t=14785
ni men bu shi 	你们不是	c=2 d=3.63976e-10 t=14785
ni men gei de 	你们给的	c=1 d=5.65026e-20 t=14785
ni men gong si 	你们公司	c=1 d=1.81612e-20 t=14785
ni men kai hui 	你们开会	c=1 d=0.210136 t=14785
ni men kan 	你们看	c=1 d=1.87404e-07 t=14785
ni men ke yi 	你们可以	c=1 d=9.11884e-05 t=14785
ni men ke yi guo lai wan wan 	你们可以过来玩玩	c=1 d=1 t=13386
ni ming nei bu lei 	匿名内部类	c=2 d=1.956 t=14258
ni na 	你那	c=1 d=2.91786e-10 t=14785
ni na bian 	你那边	c=1 d=3.18549e-13 t=14785
ni na ge 	你那个	c=0 d=2.21595e-09 t=14785
ni na ge tong shi 	你那个同事	c=1 d=2.22706e-08 t=14785
ni neng 	你能	c=1 d=9.59125e-10 t=14785
ni neng bu neng zou 	你能不能走	c=1 d=6.38714e-21 t=14785
ni qian duan 	你前端	c=1 d=6.62275e-06 t=14785
ni qian ji tian 	你前几天	c=1 d=0.0132336 t=14785
ni qin qi 	你亲戚	c=1 d=1.16041e-15 t=14785
ni qu 	你去	c=1 d=1.9603e-07 t=14785
ni qu kan le ma 	你去看了吗	c=1 d=6.08618e-12 t=14785
ni qu shang ban 	你去上班	c=1 d=1.07342e-10 t=14785
ni que ding ma 	你确定吗	c=1 d=6.57494e-09 t=14785
ni rang 	你让	c=2 d=8.09991e-07 t=14785
ni ru guo 	你如果	c=1 d=2.02729e-20 t=14785
ni shang 	你上	c=0 d=1.33479e-16 t=14785
ni shang ban 	你上班	c=1 d=1.34148e-15 t=14785
ni shao wei 	你稍微	c=1 d=1.65125e-18 t=14785
ni shi 	你是	c=2 d=5.32773e-05 t=14785
ni shi an zhao 	你是按照	c=1 d=6.24344e-18 t=14785
ni shi shi 	你试试	c=1 d=2.0608e-07 t=14785
ni shi zhen 	逆时针	c=1 d=1 t=10681
ni shou ji 	你手机	c=1 d=7.33697e-05 t=14785
ni shuo 	你说	c=1 d=1.83787e-13 t=14785
ni shuo de 	你说的	c=1 d=3.06903e-16 t=14785
ni shuo ne 	你说呢	c=1 d=1 t=14560
ni tao qian 	你掏钱	c=2 d=0.00346749 t=14785
ni wan cheng 	你完成	c=1 d=1.59283e-06 t=14785
ni wei shen me 	你为什么	c=1 d=4.00926e-13 t=14785
ni xian zai 	你现在	c=2 d=5.80138e-07 t=14785
ni xiang 	你想	c=0 d=4.20179e-07 t=14785
ni xiang jin 	你想进	c=1 d=4.22285e-06 t=14785
ni xie 	你写	c=1 d=1 t=13298
ni yao 	你要	c=3 d=0.000155162 t=14785
ni yao de 	你要的	c=1 d=1.18878e-05 t=14785
ni yao qing le 	你邀请了	c=1 d=3.27291e-08 t=14785
ni yao shu ru 	你要输入	c=1 d=1 t=9523
ni yao zuo che 	你要坐车	c=1 d=7.19658e-13 t=14785
ni yi jing 	你已经	c=1 d=3.76475e-08 t=14785
ni ying gai 	你应该	c=1 d=9.01858e-21 t=14785
ni yong 	你用	c=1 d=9.93288e-10 t=14785
ni yong yi xia 	你用一下	c=1 d=1 t=13887
ni you 	你有	c=0 d=2.74841e-13 t=14785
ni zai 	你在	c=1 d=1.63206e-06 t=14785
ni zai kan kan 	你在看看	c=1 d=5.67182e-06 t=14785
ni zai shi shi 	你再试试	c=2 d=5.34677e-11 t=14785
ni zai zhao 	你再找	c=1 d=3.38949e-08 t=14785
ni zhao 	你找	c=0 d=0.000814786 t=14785
ni zhao ge 	你找个	c=1 d=0.0081887 t=14785
ni zhe 	你这	c=1 d=5.08361e-12 t=14785
ni zhe ge 	你这个	c=1 d=5.69328e-21 t=14785
ni zhou liu 	你周六	c=1 d=1 t=13
ni zhuang xiu 	你装修	c=1 d=9.52688e-19 t=14785
ni zi ji 	你自己	c=2 d=0.0977834 t=14785
ni zou le 	你走了	c=0 d=1.20506e-19 t=14785
ni zou le ma 	你走了吗	c=1 d=1.2111e-18 t=14785
ni zuo 	你做	c=0 d=2.76792e-08 t=14785
ni zuo hao 	你做好	c=1 d=2.78179e-07 t=14785
ni zuo tian 	你昨天	c=1 d=1 t=11839
nian 	年	c=3 d=3.31324e-05 t=14785
nian fen 	年份	c=2 d=2.3606e-09 t=14785
nian jia 	年假	c=0 d=7.69585e-09 t=14785
nian ling 	年龄	c=1 d=0.000345679 t=14785
nian nei 	年内	c=1 d=1.16945e-18 t=14785
nian qing 	年轻	c=1 d=1 t=12310
nian qing dai 	年轻代	c=3 d=2.89819 t=13042
nian xian 	年限	c=1 d=1.19307e-18 t=14785
nian zhong jiang 	年终奖	c=1 d=1 t=11889
niao chao 	鸟巢	c=2 d=1.29187e-11 t=14785
niu bi 	牛逼	c=3 d=3.01297e-05 t=14785
niu bi le 	牛逼了	c=1 d=2.59638e-19 t=14785
nong fu 	农夫	c=1 d=1 t=14612
nong ye yin hang 	农业银行	c=1 d=1.08495e-18 t=14785
nuo che 	挪车	c=0 d=1.43504e-15 t=14785
nuo h ao 	诺和奥	c=1 d=1 t=14778
nuo ji ya 	诺基亚	c=0 d=0.1 t=13890
nv 	女	c=1 d=0.000342239 t=14785
nv er qing 	女儿情	c=1 d=1.88081e-20 t=14785
nv ren 	女人	c=0 d=0.0011109 t=14785
nv ren duo 	女人多	c=1 d=0.0111647 t=14785
nv zhuang 	女装	c=2 d=1.98511 t=10534
o 	哦	c=1 d=9.26451e-14 t=14785
o o 	哦哦	c=1 d=0.0955997 t=14785
o si den 	哦四扽	c=1 d=4.98549e-18 t=14785
ou er 	偶尔	c=4 d=0.00522135 t=14785
ou zhou bei 	欧洲杯	c=1 d=2.6031e-20 t=14785
pa chong 	爬虫	c=1 d=2.83847e-09 t=14785
pa sha 	怕啥	c=1 d=8.85685e-14 t=14785
pai 	拍	c=1 d=0.0225906 t=14785
pai cha 	排查	c=1 d=1 t=11268
pai de 	拍的	c=1 d=1.55726e-05 t=14785
pai dian ying 	拍电影	c=1 d=1.34798e-13 t=14785
pai fa 	派发	c=2 d=1.99005 t=11403
pai fang 	排放	c=1 d=1.28844e-11 t=14785
pai jian 	派件	c=1 d=0.00467746 t=14785
pai ta 	排他	c=0 d=7.60607e-18 t=14785
pai ta wang guan 	排他网关	c=1 d=7.6442e-17 t=14785
pai xu 	排序	c=4 d=5.31881e-07 t=14785
pan 	盘	c=0 d=4.9495e-22 t=14785
pan dian 	盘点	c=38 d=5.94103 t=14785
pan dian biao 	盘点表	c=1 d=0.00918669 t=14785
pan dian dan 	盘点单	c=4 d=5.6728e-08 t=14785
pan dian dan hao 	盘点单号	c=1 d=0.000405658 t=14785
pan dian jie guo 	盘点结果	c=2 d=0.0122939 t=14785
pan dian ren wu 	盘点任务	c=1 d=6.92876e-08 t=14785
pan duan 	判断	c=8 d=0.0513038 t=14785
pan huan 	潘欢	c=2 d=0.117655 t=14785
pan huan 	般桓	c=1 d=9.59615e-16 t=14785
pan ying 	潘莹	c=1 d=0.01649 t=14785
pan zong 	潘总	c=1 d=1.85634e-13 t=14785
pang 	胖	c=0 d=0.1 t=13829
pang bian 	旁边	c=4 d=8.57273e-09 t=14785
pang zi 	胖子	c=1 d=9.47452e-13 t=14785
pao 	跑	c=1 d=2.55112e-18 t=14785
pao bu 	跑步	c=1 d=2.63248e-05 t=14785
pao bu liao 	跑不了	c=1 d=3.39942e-13 t=14785
pao che 	跑车	c=2 d=2.1584e-12 t=14785
pao chu 	抛出	c=1 d=0.000930303 t=14785
pao dao 	跑到	c=1 d=2.77697e-16 t=14785
pao dao ni na bian 	跑到你那边	c=1 d=9.6725e-21 t=14785
pao de 	跑的	c=0 d=5.00707e-11 t=14785
pao de qi lai ma 	跑的起来吗	c=1 d=5.03217e-10 t=14785
pao le 	跑了	c=2 d=1.02584e-06 t=14785
pao lu 	跑路	c=1 d=0.00190171 t=14785
pao qi le 	抛弃了	c=1 d=5.11083e-16 t=14785
pei 	裴	c=2 d=1.6542e-05 t=14785
pei chang 	赔偿	c=1 d=7.85666e-16 t=14785
pei he 	配合	c=0 d=3.89752e-05 t=14785
pei wo 	陪我	c=1 d=0.00252883 t=14785
pei yang 	培养	c=0 d=0.0951229 t=14785
pei yang jie duan 	培养阶段	c=1 d=0.955997 t=14785
pei zhi 	配置	c=30 d=2.28691 t=14785
pei zhi lei 	配置类	c=1 d=3.59285e-17 t=14785
pei zhi wei 	配置为	c=1 d=1 t=14215
pei zhi wen jian 	配置文件	c=6 d=1.5931e-08 t=14785
peng fei 	鹏飞	c=0 d=8.48471e-10 t=14785
peng you quan 	朋友圈	c=1 d=3.11435e-12 t=14785
peng zhuang 	碰撞	c=0 d=0.1 t=13644
peng zhuang ji lv 	碰撞机率	c=1 d=1 t=13645
pi 	屁	c=1 d=3.58419e-18 t=14785
pi fu 	皮肤	c=10 d=0.0958472 t=14785
pi liang 	批量	c=1 d=8.27663e-11 t=14785
pi liang shan chu 	批量删除	c=1 d=1.54202e-07 t=14785
pi pei 	匹配	c=25 d=0.509156 t=14785
pi pei du 	匹配度	c=4 d=0.00991297 t=14785
pi pei shi 	匹配时	c=1 d=1 t=14446
pi pei zhong wen 	匹配中文	c=1 d=1 t=10088
pi xia lai 	批下来	c=1 d=5.77834e-19 t=14785
pian 	片	c=1 d=1 t=12074
pian ren 	骗人	c=2 d=0.00330003 t=14785
pian ren de 	骗人的	c=1 d=0.00131358 t=14785
pian yi 	便宜	c=2 d=0.000307331 t=14785
pian yi dian 	便宜点	c=1 d=1 t=11765
pian yi le 	便宜了	c=0 d=1.52772e-16 t=14785
pin 	拼	c=0 d=0.1 t=10242
pin dan 	拼单	c=1 d=2.5626e-12 t=14785
pin duo duo 	拼多多	c=2 d=3.55683e-08 t=14785
pin fan 	频繁	c=1 d=1 t=13515
pin fu 	贫富	c=1 d=0.000141955 t=14785
pin gou 	拼购	c=1 d=0.00172937 t=14785
pin jie 	拼接	c=2 d=1.13373e-06 t=14785
pin lv 	频率	c=1 d=2.62069e-11 t=14785
pin pai 	品牌	c=3 d=0.000379869 t=14785
pin qi lai 	拼起来	c=2 d=1.23209e-06 t=14785
pin yin 	拼音	c=8 d=1.01908e-10 t=14785
pin yin shu ru 	拼音输入	c=1 d=1 t=10290
ping ban 	平板	c=2 d=2.71253e-18 t=14785
ping bi 	屏蔽	c=3 d=0.00213968 t=14785
ping chang 	平常	c=1 d=7.93427e-14 t=14785
ping fang 	平方	c=1 d=2.12979e-12 t=14785
ping fen 	评分	c=5 d=1.00449 t=14785
ping gu 	评估	c=3 d=0.00103563 t=14785
ping guo 	苹果	c=4 d=0.0117371 t=14785
ping jun 	平均	c=1 d=3.65473e-12 t=14785
ping jun fen 	平均分	c=2 d=0.0115122 t=14785
ping mu 	屏幕	c=3 d=1.34706e-05 t=14785
ping shi 	平时	c=2 d=0.1 t=14425
ping shi mai de 	平时买的	c=1 d=1 t=14426
ping yuan shang 	平原上	c=1 d=1 t=14606
po du 	坡度	c=1 d=3.10684e-13 t=14785
po jie 	破解	c=13 d=0.479831 t=14785
pu tong 	普通	c=5 d=1.13598e-13 t=14785
qi 	七	c=1 d=1 t=13747
qi 	其	c=2 d=1.77105 t=10304
qi 	器	c=1 d=1.40204e-05 t=14785
qi 	奇	c=1 d=7.6468e-21 t=14785
qi 	气	c=1 d=6.49824e-18 t=14785
qi 	起	c=0 d=1.22032e-07 t=14785
qi 	骑	c=3 d=1.017e-12 t=14785
qi ba 	七八	c=0 d=4.6906e-12 t=14785
qi ba dian 	七八点	c=1 d=5.98416e-19 t=14785
qi ba shi 	七八十	c=1 d=4.61096e-11 t=14785
qi ba shi wan 	七八十万	c=1 d=1.03151e-12 t=14785
qi bu 	岂不	c=1 d=1.47467e-11 t=14785
qi bu 	起步	c=1 d=7.15825e-09 t=14785
qi che 	汽车	c=2 d=1.05179e-11 t=14785
qi ci 	其次	c=1 d=8.57582e-17 t=14785
qi dian 	七点	c=0 d=0.00152625 t=14785
qi dian ban 	七点半	c=2 d=0.000765501 t=14785
qi dian duo 	七点多	c=1 d=0.0146253 t=14785
qi dian zou 	七点走	c=1 d=0.000713734 t=14785
qi dong 	启动	c=21 d=0.0129216 t=14785
qi dong bu liao 	启动不了	c=1 d=5.67375e-10 t=14785
qi dong can shu 	启动参数	c=1 d=1 t=13064
qi dong xiang 	启动项	c=1 d=1 t=11119
qi fei le 	起飞了	c=1 d=1 t=9771
qi gong lu che 	骑公路车	c=1 d=2.83944e-13 t=14785
qi jian 	期间	c=1 d=1 t=12784
qi jiang 	起降	c=0 d=0.1 t=13482
qi kuai wu 	七块五	c=1 d=1 t=9775
qi lai 	起来	c=0 d=5.00707e-11 t=14785
qi nang 	气囊	c=0 d=8.76872e-15 t=14785
qi pa 	奇葩	c=0 d=1.25275e-05 t=14785
qi shi 	其实	c=4 d=1.64161e-08 t=14785
qi shou 	骑手	c=1 d=1 t=10226
qi shui 	契税	c=6 d=3.77444e-18 t=14785
qi ta 	其他	c=24 d=0.1644 t=14785
qi ta che 	其他车	c=1 d=6.62726e-14 t=14785
qi ta de 	其他的	c=1 d=2.27398e-18 t=14785
qi ta ren 	其他人	c=1 d=0.0812731 t=14785
qi ta shi qing 	其它事情	c=0 d=6.95379e-22 t=14785
qi ta zhuan ye 	其他专业	c=1 d=3.52962e-14 t=14785
qi wang 	期望	c=1 d=1 t=13019
qi xia 	旗下	c=1 d=1.79621e-08 t=14785
qi ye 	企业	c=1 d=3.03901e-18 t=14785
qi ye da xue 	企业大学	c=1 d=5.87485e-08 t=14785
qi yong 	启用	c=5 d=0.748316 t=14785
qi yong 	弃用	c=1 d=1 t=12571
qi zhong 	其中	c=2 d=0.00105945 t=14785
qi zhong bao kuo 	其中包括	c=1 d=1 t=11297
